path_and_filename,\tau_3,\tau_5,...3,\sigma_3,\sigma_5,\sigma_7,F (N),V (N),V(kN),a,t_3,t_5,t_7,b,h,杜撰
data/CopyOftheoretical_prediction.xlsx,0,0,0,0,0,0,0,0,0,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.042538107054236086,0.037238746916166264,0.04230565838180857,1.3399503722084365,1.6291951775822742,1.8138551031200425,2000,1000,1,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.08507621410847217,0.07447749383233253,0.08461131676361713,2.679900744416873,3.2583903551645483,3.627710206240085,4000,2000,2,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.12761432116270824,0.11171624074849881,0.1269169751454257,4.0198511166253095,4.887585532746822,5.441565309360127,6000,3000,3,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.17015242821694435,0.14895498766466506,0.16922263352723427,5.359801488833746,6.516780710329097,7.25542041248017,8000,4000,4,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.21269053527118043,0.18619373458083133,0.21152829190904282,6.699751861042182,8.145975887911371,9.0692755156002125,10000,5000,5,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.2552286423254165,0.22343248149699763,0.2538339502908514,8.039702233250619,9.775171065493645,10.883130618720253,12000,6000,6,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.2977667493796526,0.26067122841316387,0.29613960867266,9.379652605459055,11.40436624307592,12.696985721840296,14000,7000,7,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.3403048564338887,0.2979099753293301,0.33844526705446853,10.719602977667492,13.033561420658193,14.51084082496034,16000,8000,8,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.3828429634881248,0.3351487222454964,0.38075092543627703,12.059553349875928,14.662756598240469,16.32469592808038,18000,9000,9,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.42538107054236085,0.37238746916166265,0.42305658381808564,13.399503722084363,16.291951775822742,18.138551031200425,20000,10000,10,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.46791917759659696,0.40962621607782895,0.4653622421998942,14.739454094292801,17.921146953405014,19.95240613432047,22000,11000,11,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.510457284650833,0.44686496299399525,0.5076679005817027,16.079404466501238,19.55034213098729,21.766261237440506,24000,12000,12,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.5529953917050691,0.4841037099101615,0.5499735589635114,17.419354838709676,21.179537308569564,23.58011634056055,26000,13000,13,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.5955334987593052,0.5213424568263277,0.59227921734532,18.75930521091811,22.80873248615184,25.39397144368059,28000,14000,14,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.6380716058135412,0.558581203742494,0.6345848757271285,20.099255583126546,24.43792766373411,27.207826546800636,30000,15000,15,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.6806097128677774,0.5958199506586602,0.6768905341089371,21.439205955334984,26.067122841316387,29.02168164992068,32000,16000,16,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.7231478199220135,0.6330586975748266,0.7191961924907456,22.77915632754342,27.696318018898662,30.83553675304072,34000,17000,17,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.7656859269762496,0.6702974444909928,0.7615018508725541,24.119106699751857,29.325513196480937,32.64939185616076,36000,18000,18,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.8082240340304856,0.7075361914071591,0.8038075092543627,25.45905707196029,30.954708374063213,34.4632469592808,38000,19000,19,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.8507621410847217,0.7447749383233253,0.8461131676361713,26.799007444168726,32.583903551645484,36.27710206240085,40000,20000,20,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.8933002481389578,0.7820136852394917,0.8884188260179798,28.138957816377168,34.21309872922776,38.09095716552089,42000,21000,21,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.9358383551931939,0.8192524321556579,0.9307244843997884,29.478908188585603,35.84229390681003,39.90481226864094,44000,22000,22,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,0.9783764622474299,0.8564911790718241,0.9730301427815969,30.818858560794038,37.47148908439231,41.71866737176097,46000,23000,23,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.020914569301666,0.8937299259879905,1.0153358011634055,32.158808933002476,39.10068426197458,43.53252247488101,48000,24000,24,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.063452676355902,0.9309686729041567,1.0576414595452142,33.49875930521091,40.72987943955686,45.34637757800106,50000,25000,25,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.1059907834101381,0.968207419820323,1.0999471179270228,34.83870967741935,42.35907461713913,47.1602326811211,52000,26000,26,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.1485288904643742,1.0054461667364891,1.1422527763088313,36.17866004962778,43.988269794721404,48.97408778424115,54000,27000,27,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.1910669975186103,1.0426849136526555,1.18455843469064,37.51861042183622,45.61746497230368,50.78794288736118,56000,28000,28,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.2336051045728462,1.0799236605688216,1.2268640930724484,38.85856079404466,47.246660149885955,52.60179799048123,58000,29000,29,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.2761432116270823,1.117162407484988,1.269169751454257,40.19851116625309,48.87585532746822,54.41565309360127,60000,30000,30,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.3186813186813184,1.1544011544011543,1.3114754098360655,41.538461538461526,50.505050505050505,56.22950819672131,62000,31000,31,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.3612194257355548,1.1916399013173204,1.3537810682178741,42.87841191066997,52.13424568263277,58.04336329984136,64000,32000,32,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.4037575327897909,1.2288786482334868,1.3960867265996826,44.21836228287841,53.763440860215056,59.857218402961394,66000,33000,33,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.446295639844027,1.2661173951496532,1.4383923849814912,45.55831265508684,55.392636037797324,61.67107350608144,68000,34000,34,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.488833746898263,1.3033561420658193,1.4806980433632997,46.89826302729528,57.0218312153796,63.48492860920148,70000,35000,35,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.5313718539524992,1.3405948889819856,1.5230037017451081,48.238213399503714,58.651026392961874,65.29878371232152,72000,36000,36,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.5739099610067353,1.377833635898152,1.565309360126917,49.57816377171215,60.28022157054414,67.11263881544157,74000,37000,37,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.6164480680609712,1.4150723828143181,1.6076150185087255,50.91811414392058,61.909416748126425,68.9264939185616,76000,38000,38,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.6589861751152073,1.4523111297304845,1.6499206768905341,52.258064516129025,63.53861192570869,70.74034902168165,78000,39000,39,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/CopyOftheoretical_prediction.xlsx,1.7015242821694434,1.4895498766466506,1.6922263352723426,53.59801488833745,65.16780710329097,72.5542041248017,80000,40000,40,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0,0,0,0,0,0,0,0,0,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.042538107054236086,0.037238746916166264,0.04230565838180857,1.3399503722084365,1.6291951775822742,1.8138551031200425,2000,1000,1,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.08507621410847217,0.07447749383233253,0.08461131676361713,2.679900744416873,3.2583903551645483,3.627710206240085,4000,2000,2,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.12761432116270824,0.11171624074849881,0.1269169751454257,4.0198511166253095,4.887585532746822,5.441565309360127,6000,3000,3,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.17015242821694435,0.14895498766466506,0.16922263352723427,5.359801488833746,6.516780710329097,7.25542041248017,8000,4000,4,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.21269053527118043,0.18619373458083133,0.21152829190904282,6.699751861042182,8.145975887911371,9.0692755156002125,10000,5000,5,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.2552286423254165,0.22343248149699763,0.2538339502908514,8.039702233250619,9.775171065493645,10.883130618720253,12000,6000,6,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.2977667493796526,0.26067122841316387,0.29613960867266,9.379652605459055,11.40436624307592,12.696985721840296,14000,7000,7,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.3403048564338887,0.2979099753293301,0.33844526705446853,10.719602977667492,13.033561420658193,14.51084082496034,16000,8000,8,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.3828429634881248,0.3351487222454964,0.38075092543627703,12.059553349875928,14.662756598240469,16.32469592808038,18000,9000,9,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.42538107054236085,0.37238746916166265,0.42305658381808564,13.399503722084363,16.291951775822742,18.138551031200425,20000,10000,10,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.46791917759659696,0.40962621607782895,0.4653622421998942,14.739454094292801,17.921146953405014,19.95240613432047,22000,11000,11,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.510457284650833,0.44686496299399525,0.5076679005817027,16.079404466501238,19.55034213098729,21.766261237440506,24000,12000,12,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.5529953917050691,0.4841037099101615,0.5499735589635114,17.419354838709676,21.179537308569564,23.58011634056055,26000,13000,13,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.5955334987593052,0.5213424568263277,0.59227921734532,18.75930521091811,22.80873248615184,25.39397144368059,28000,14000,14,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.6380716058135412,0.558581203742494,0.6345848757271285,20.099255583126546,24.43792766373411,27.207826546800636,30000,15000,15,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.6806097128677774,0.5958199506586602,0.6768905341089371,21.439205955334984,26.067122841316387,29.02168164992068,32000,16000,16,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.7231478199220135,0.6330586975748266,0.7191961924907456,22.77915632754342,27.696318018898662,30.83553675304072,34000,17000,17,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.7656859269762496,0.6702974444909928,0.7615018508725541,24.119106699751857,29.325513196480937,32.64939185616076,36000,18000,18,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.8082240340304856,0.7075361914071591,0.8038075092543627,25.45905707196029,30.954708374063213,34.4632469592808,38000,19000,19,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.8507621410847217,0.7447749383233253,0.8461131676361713,26.799007444168726,32.583903551645484,36.27710206240085,40000,20000,20,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.8933002481389578,0.7820136852394917,0.8884188260179798,28.138957816377168,34.21309872922776,38.09095716552089,42000,21000,21,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.9358383551931939,0.8192524321556579,0.9307244843997884,29.478908188585603,35.84229390681003,39.90481226864094,44000,22000,22,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,0.9783764622474299,0.8564911790718241,0.9730301427815969,30.818858560794038,37.47148908439231,41.71866737176097,46000,23000,23,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.020914569301666,0.8937299259879905,1.0153358011634055,32.158808933002476,39.10068426197458,43.53252247488101,48000,24000,24,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.063452676355902,0.9309686729041567,1.0576414595452142,33.49875930521091,40.72987943955686,45.34637757800106,50000,25000,25,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.1059907834101381,0.968207419820323,1.0999471179270228,34.83870967741935,42.35907461713913,47.1602326811211,52000,26000,26,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.1485288904643742,1.0054461667364891,1.1422527763088313,36.17866004962778,43.988269794721404,48.97408778424115,54000,27000,27,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.1910669975186103,1.0426849136526555,1.18455843469064,37.51861042183622,45.61746497230368,50.78794288736118,56000,28000,28,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.2336051045728462,1.0799236605688216,1.2268640930724484,38.85856079404466,47.246660149885955,52.60179799048123,58000,29000,29,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.2761432116270823,1.117162407484988,1.269169751454257,40.19851116625309,48.87585532746822,54.41565309360127,60000,30000,30,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.3186813186813184,1.1544011544011543,1.3114754098360655,41.538461538461526,50.505050505050505,56.22950819672131,62000,31000,31,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.3612194257355548,1.1916399013173204,1.3537810682178741,42.87841191066997,52.13424568263277,58.04336329984136,64000,32000,32,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.4037575327897909,1.2288786482334868,1.3960867265996826,44.21836228287841,53.763440860215056,59.857218402961394,66000,33000,33,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.446295639844027,1.2661173951496532,1.4383923849814912,45.55831265508684,55.392636037797324,61.67107350608144,68000,34000,34,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.488833746898263,1.3033561420658193,1.4806980433632997,46.89826302729528,57.0218312153796,63.48492860920148,70000,35000,35,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.5313718539524992,1.3405948889819856,1.5230037017451081,48.238213399503714,58.651026392961874,65.29878371232152,72000,36000,36,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.5739099610067353,1.377833635898152,1.565309360126917,49.57816377171215,60.28022157054414,67.11263881544157,74000,37000,37,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.6164480680609712,1.4150723828143181,1.6076150185087255,50.91811414392058,61.909416748126425,68.9264939185616,76000,38000,38,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.6589861751152073,1.4523111297304845,1.6499206768905341,52.258064516129025,63.53861192570869,70.74034902168165,78000,39000,39,0.735,0.035,0.021,0.015,0.31,0.105,1.5
data/theoretical_prediction.xlsx,1.7015242821694434,1.4895498766466506,1.6922263352723426,53.59801488833745,65.16780710329097,72.5542041248017,80000,40000,40,0.735,0.035,0.021,0.015,0.31,0.105,1.5
